name,orcid,field,h_index,total_publications,total_citations,avg_authors_per_paper,avg_author_position,avg_complexity,complexity_keyword_score,complexity_concept_score,complexity_n_works_analyzed,works_in_period,top_works,journals,from_year,to_year,KANON_C,KANON_A,KANON_M,KANON_R,KANON_J,KANON_Index,complexity_mesh_score,mesh_coverage
Tu Youyou,0000-0002-2467-4911,Medicine,15,98,3310,2.57,2.14,0.4489,0.2518,0.7446,20,87,87,20,2006,2026,0.0496,0.5359,0.0449,0.0075,0.04,0.7618,0.4487,0.1149
John O'Keefe,0000-0001-5829-2926,Medicine,75,554,23305,10.28,7.54,0.5972,0.5254,0.705,106,200,200,86,2006,2026,0.15,0.3736,0.0597,0.0375,0.1,0.7952,0.6334,0.455
May-Britt Moser,0000-0003-4071-1145,Medicine,81,177,43421,5.3,4.38,0.555,0.4022,0.7842,76,138,138,40,2006,2026,0.15,0.4685,0.0555,0.0405,0.08,0.8513,0.4663,0.4275
Edvard I. Moser,0000-0002-5830-2259,Medicine,93,440,52070,4.86,3.88,0.5107,0.3302,0.7814,99,200,200,47,2006,2026,0.15,0.4838,0.0511,0.0465,0.094,0.8742,0.4806,0.34
James E. Rothman,0000-0001-8653-8650,Medicine,87,207,39706,9.78,7.46,0.5777,0.3963,0.8498,64,105,105,32,2006,2026,0.15,0.3763,0.0578,0.0435,0.064,0.7725,0.4514,0.3429
Randy W. Schekman,0000-0001-8615-6409,Medicine,128,451,52551,5.05,4.53,0.5047,0.3117,0.7941,159,200,200,52,2006,2026,0.15,0.4642,0.0505,0.05,0.1,0.8664,0.4595,0.18
Thomas C. Südhof,0000-0001-9319-0149,Medicine,192,753,130188,6.63,6.2,0.6215,0.4732,0.8439,107,200,200,40,2006,2026,0.15,0.414,0.0621,0.05,0.08,0.8223,0.5706,0.52
John B. Gurdon,0000-0002-8395-5467,Medicine,96,380,30695,4.09,3.61,0.5491,0.3448,0.8555,74,113,113,67,2006,2026,0.15,0.4917,0.0549,0.048,0.1,0.8885,0.5403,0.4071
Shinya Yamanaka,0000-0001-9469-1494,Medicine,119,418,111759,9.82,8.93,0.6301,0.4836,0.85,136,200,200,95,2006,2026,0.15,0.3322,0.063,0.05,0.1,0.7754,0.5238,0.65
Bruce A. Beutler,0000-0002-5482-6695,Medicine,123,552,82918,11.69,10.49,0.5884,0.4175,0.8447,153,200,200,83,2006,2026,0.15,0.2852,0.0588,0.05,0.1,0.7349,0.5028,0.565
Jules A. Hoffmann,0000-0001-8316-6514,Medicine,74,128,32960,6.89,5.59,0.5207,0.349,0.7784,25,46,46,26,2006,2026,0.15,0.4324,0.0521,0.037,0.052,0.7972,0.4484,0.3043
Elizabeth H. Blackburn,0000-0001-6327-8544,Medicine,114,441,59045,7.53,5.68,0.6368,0.5661,0.7428,124,200,200,104,2006,2026,0.15,0.4294,0.0637,0.05,0.1,0.8502,0.694,0.49
Carol W. Greider,0000-0002-3504-2562,Medicine,76,165,43954,10.55,7.93,0.4925,0.2868,0.8009,66,74,74,30,2006,2026,0.15,0.362,0.0492,0.038,0.06,0.747,0.4467,0.1892
Jack W. Szostak,0000-0003-2322-3106,Medicine,112,578,59054,4.5,4.2,0.5541,0.3394,0.8761,172,200,200,60,2006,2026,0.15,0.474,0.0554,0.05,0.1,0.8773,0.4329,0.405
Harald zur Hausen,0000-0001-8939-7527,Medicine,88,503,42171,7.46,5.65,0.4723,0.3199,0.701,50,84,84,45,2006,2026,0.15,0.4304,0.0472,0.044,0.09,0.8264,0.4589,0.2024
Françoise Barré-Sinoussi,0000-0003-2804-5957,Medicine,74,291,25114,11.22,6.56,0.5417,0.394,0.7633,96,135,135,60,2006,2026,0.15,0.4031,0.0542,0.037,0.1,0.8132,0.4824,0.4074
Mario R. Capecchi,0000-0003-0382-2729,Medicine,107,326,37356,8.83,6.92,0.5745,0.4269,0.796,123,181,181,82,2006,2026,0.15,0.3925,0.0575,0.05,0.1,0.8176,0.5301,0.3757
Martin J. Evans,0000-0002-6395-7641,Medicine,145,1595,103519,19.82,10.16,0.5146,0.3011,0.8348,31,38,38,17,2006,2026,0.15,0.2953,0.0515,0.05,0.034,0.6836,0.0,0.0
Andrew Z. Fire,0000-0002-9103-7449,Medicine,88,296,53798,9.46,6.99,0.5581,0.3667,0.8452,151,200,200,75,2006,2026,0.15,0.3904,0.0558,0.044,0.1,0.8102,0.4932,0.295
Craig C. Mello,0000-0002-4741-6876,Medicine,64,130,38431,7.71,7.2,0.5598,0.3666,0.8497,56,91,91,32,2006,2026,0.15,0.3841,0.056,0.032,0.064,0.7682,0.4581,0.2637
Barry J. Marshall,0000-0001-9322-1323,Medicine,59,341,20523,8.64,6.23,0.5195,0.3893,0.7146,116,175,175,96,2006,2026,0.15,0.413,0.0519,0.0295,0.1,0.8133,0.5249,0.32
John J. Hopfield,0000-0002-6976-6069,Physics,85,293,67123,2.5,1.69,0.4665,0.2921,0.7281,21,26,26,12,2006,2026,0.2,0.3662,0.0933,0.0425,0.036,0.8855,0.0,0.0
Geoffrey E. Hinton,0000-0003-4373-3611,Physics,137,384,447810,5.55,3.69,0.4233,0.2914,0.6211,162,192,192,43,2006,2026,0.2,0.3263,0.0847,0.05,0.129,0.91,0.2931,0.0521
Pierre Agostini,0000-0002-8817-3487,Physics,54,267,18479,9.81,5.63,0.5096,0.2837,0.8485,87,140,140,48,2006,2026,0.2,0.2874,0.1019,0.027,0.144,0.8962,0.3872,0.0214
Ferenc Krausz,0000-0002-2843-9471,Physics,94,876,50814,10.36,9.1,0.5548,0.3536,0.8565,168,200,200,49,2006,2026,0.2,0.218,0.111,0.047,0.147,0.8783,0.8607,0.1
Anne L'Huillier,0000-0003-2613-9191,Physics,76,458,26271,11.31,9.66,0.5472,0.3289,0.8745,178,200,200,63,2006,2026,0.2,0.2068,0.1094,0.038,0.15,0.8691,0.7587,0.015
Alain Aspect,0000-0002-3956-0474,Physics,59,624,24096,4.83,3.53,0.4738,0.2338,0.8337,157,200,200,35,2006,2026,0.2,0.3294,0.0948,0.0295,0.105,0.8954,0.0,0.0
