name,orcid,field,is_nobel,horizon,ref_year,cutoff_year,total_citations,avg_author_position,avg_authors_per_paper,complexity_keyword_score,complexity_concept_score,complexity_mesh_score,mesh_coverage,journals,h_index,total_publications,complexity_n_works_analyzed,cby_min_year
Yoshinori Ohsumi,0000-0002-4083-6541,Medicine,1,10,2016,2006,59,3.09,3.56,0.4999,0.8095,0.5744,0.292,49,4,274,100,2012
William C. Campbell,0000-0002-8547-5166,Medicine,1,0,2015,2015,2549,3.94,7.01,0.5675,0.6283,0.8163,0.5152,71,21,132,92,2012
William C. Campbell,0000-0002-8547-5166,Medicine,1,5,2015,2010,47,3.75,6.17,0.6739,0.687,0.779,0.5806,83,3,124,71,2012
William C. Campbell,0000-0002-8547-5166,Medicine,1,10,2015,2005,77,3.41,5.7,0.6409,0.6841,0.7364,0.5859,81,5,128,76,2012
Satoshi Ōmura,0000-0003-1676-5972,Medicine,1,0,2015,2015,3120,6.31,7.12,0.4141,0.8034,0.5982,0.358,104,22,500,261,2012
Satoshi Ōmura,0000-0003-1676-5972,Medicine,1,5,2015,2010,29,5.99,6.57,0.4116,0.8039,0.5882,0.3528,85,3,360,201,2012
Satoshi Ōmura,0000-0003-1676-5972,Medicine,1,10,2015,2005,15,5.9,6.19,0.3328,0.7996,0.5595,0.2171,34,2,129,70,2012
Tu Youyou,0000-0002-2467-4911,Medicine,1,0,2015,2015,170,2.69,3.31,0.3978,0.7666,0.4682,0.4615,4,4,13,8,2012
Tu Youyou,0000-0002-2467-4911,Medicine,1,5,2015,2010,1,2.92,3.58,0.4239,0.7667,0.5344,0.4167,3,1,12,8,2012
Tu Youyou,0000-0002-2467-4911,Medicine,1,10,2015,2005,17,2.45,3.64,0.4691,0.752,0.6177,0.4545,2,1,11,8,2012
John O'Keefe,0000-0001-5829-2926,Medicine,1,0,2014,2014,1516,4.39,6.88,0.4661,0.7069,0.664,0.3692,84,18,260,132,2012
John O'Keefe,0000-0001-5829-2926,Medicine,1,5,2014,2009,79,4.01,6.38,0.4898,0.6987,0.6292,0.4603,73,5,189,91,2012
John O'Keefe,0000-0001-5829-2926,Medicine,1,10,2014,2004,147,3.36,5.55,0.5025,0.7046,0.6075,0.5524,57,7,143,78,2012
May-Britt Moser,0000-0003-4071-1145,Medicine,1,0,2014,2014,5038,3.89,4.77,0.4613,0.7877,0.5084,0.5851,34,37,94,44,2012
May-Britt Moser,0000-0003-4071-1145,Medicine,1,5,2014,2009,1,3.5,4.34,0.4384,0.794,0.4841,0.625,24,1,56,33,2012
May-Britt Moser,0000-0003-4071-1145,Medicine,1,10,2014,2004,0,2.66,3.84,0.4372,0.7938,0.4977,0.5625,17,0,32,23,2012
Edvard I. Moser,0000-0002-5830-2259,Medicine,1,0,2014,2014,5754,2.18,3.11,0.1801,0.7686,0.4978,0.2061,44,44,330,88,2012
Edvard I. Moser,0000-0002-5830-2259,Medicine,1,5,2014,2009,2,1.95,2.62,0.1635,0.7728,0.4588,0.2054,30,1,224,63,2012
Edvard I. Moser,0000-0002-5830-2259,Medicine,1,10,2014,2004,1,1.99,3.15,0.1867,0.7646,0.4543,0.2474,22,1,97,36,2012
James E. Rothman,0000-0001-8653-8650,Medicine,1,0,2013,2013,1763,5.23,5.79,0.4032,0.865,0.4378,0.5065,27,20,77,46,2012
James E. Rothman,0000-0001-8653-8650,Medicine,1,5,2013,2008,45,4.86,5.18,0.4481,0.8718,0.4714,0.5059,25,2,85,47,2012
James E. Rothman,0000-0001-8653-8650,Medicine,1,10,2013,2003,96,4.21,4.51,0.4298,0.872,0.4724,0.4494,24,3,89,45,2012
Randy W. Schekman,0000-0001-8615-6409,Medicine,1,0,2013,2013,1797,3.19,3.65,0.3242,0.8427,0.432,0.3316,39,23,196,125,2012
Randy W. Schekman,0000-0001-8615-6409,Medicine,1,5,2013,2008,57,3.0,3.33,0.3607,0.8734,0.4545,0.4032,37,4,186,111,2012
Randy W. Schekman,0000-0001-8615-6409,Medicine,1,10,2013,2003,116,3.05,3.37,0.394,0.8755,0.487,0.4396,39,5,182,113,2012
Thomas C. Südhof,0000-0001-9319-0149,Medicine,1,0,2013,2013,9257,4.65,5.23,0.5009,0.8477,0.5665,0.5821,71,46,414,226,2012
Thomas C. Südhof,0000-0001-9319-0149,Medicine,1,5,2013,2008,16,4.34,4.88,0.5236,0.8503,0.5906,0.5914,58,3,350,193,2012
