name,orcid,field,group,h_index,total_citations,total_publications,avg_authors_per_paper,avg_author_position,n_journals,S_text_raw,S_concepts_raw,mesh_coverage,works_analyzed,C,A,S,J,C_saturating,J_saturating,KANON,KANON_global,rank_KANON,rank_h,rank_shift_vs_h,data_quality,rank_KANON_clean,rank_h_clean,KANON_pctl,KANON_global_pctl,rank_shift_clean
Joachim Frank,0000-0002-1589-3667,Chemistry,Nobel,109,39790,857,7.04,6.05,69,0.5244,0.8546,0.595,96,0.2941,0.3884,0.7886,0.7559,1.0,1.0,58.61,52.752,35,72,37,ok,34.0,72.0,80.35714285714286,75.0,38.0
Johann Gasteiger,0000-0003-2036-7144,Chemistry,Elite (matched),60,23445,409,4.94,3.48,36,0.4259,0.7598,0.372,68,0.1765,0.5115,0.693,0.2735,1.0,0.72,58.607,52.448,36,129,93,ok,35.0,129.0,79.76190476190477,73.21428571428571,94.0
Gregory P. Winter,0000-0002-1980-0609,Chemistry,Nobel,87,34736,206,5.15,4.2,13,0.4768,0.7901,0.7,11,0.2824,0.4832,0.7274,0.0235,1.0,0.26,58.576,53.025,37,98,61,ok,36.0,98.0,79.16666666666666,75.59523809523809,62.0
K. Ziegler,0000-0001-8588-1078,Chemistry,Elite (matched),52,7759,196,4.33,2.33,6,0.2698,0.7483,0.111,7,0.0353,0.5692,0.6526,0.0118,0.7759,0.12,58.55,52.245,38,140,102,under-collected,,,,,
John P. Huelsenbeck,0000-0002-3050-9997,Chemistry,Elite (matched),75,115077,143,5.46,4.26,22,0.559,0.7616,0.386,55,0.5294,0.473,0.7211,0.0941,1.0,0.44,58.468,54.331,39,116,77,ok,37.0,116.0,78.57142857142857,79.76190476190477,79.0
Chad A. Mirkin,0000-0002-6634-7627,Chemistry,Elite (matched),183,163053,1688,5.89,5.58,39,0.4361,0.8178,0.53,175,0.8294,0.4235,0.7415,0.3147,1.0,0.78,58.21,57.217,40,16,-24,ok,38.0,16.0,77.97619047619048,86.90476190476191,-22.0
Ryszard S. Romaniuk,0000-0002-5710-4041,Chemistry,Elite (matched),31,21284,715,3.55,2.77,26,0.2623,0.6985,0.005,154,0.1588,0.5891,0.6113,0.1471,1.0,0.52,58.083,53.223,41,162,121,ok,39.0,160.0,77.38095238095238,76.78571428571429,121.0
Guy C. Lloyd‐Jones,0000-0003-2128-6864,Chemistry,Elite (matched),66,15099,1079,7.09,4.66,48,0.3304,0.8686,0.06,186,0.1294,0.4262,0.761,0.4147,1.0,0.96,57.992,51.759,42,123,81,ok,40.0,123.0,76.78571428571429,67.85714285714286,83.0
Martin Chalfie,0000-0002-9108-5156,Chemistry,Nobel,65,24176,165,5.62,3.83,42,0.3177,0.8002,0.2,59,0.1882,0.4817,0.7037,0.3412,1.0,0.84,57.866,52.311,43,125,82,ok,41.0,125.0,76.19047619047619,72.02380952380952,84.0
Aziz Sancar,0000-0002-8061-1046,Chemistry,Nobel,122,48628,596,6.07,5.08,54,0.3616,0.8296,0.375,181,0.3412,0.4343,0.736,0.5118,1.0,1.0,57.851,53.33,44,66,22,ok,42.0,66.0,75.59523809523809,77.38095238095238,24.0
Paul Modrich,0000-0002-5073-2890,Chemistry,Nobel,94,29621,209,5.65,4.71,19,0.3565,0.8345,0.273,38,0.2412,0.4547,0.7389,0.0618,1.0,0.38,57.763,52.554,45,87,42,ok,43.0,87.0,75.0,73.80952380952381,44.0
Charles L. Perrin,0000-0001-5732-5330,Chemistry,Elite (matched),41,7215,935,13.72,1.14,28,0.2507,0.8709,0.035,197,0.0235,0.4298,0.7469,0.1794,0.7215,0.56,56.747,49.1,46,154,108,ok,44.0,153.0,74.40476190476191,50.595238095238095,109.0
Tomas Lindahl,0000-0002-6771-3093,Chemistry,Nobel,110,56197,482,6.93,4.63,84,0.5589,0.7337,0.437,116,0.3529,0.43,0.6987,0.8765,1.0,1.0,56.687,50.976,47,71,24,ok,45.0,71.0,73.80952380952381,61.904761904761905,26.0
